번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
9785,1144000000,서울특별시,마포구,학교,성서중학교,서울특별시 마포구 성산로4길 42(성산동),592,126.90846,37.5631,191912.6452,551511.1959,안전
9786,1144000000,서울특별시,마포구,관공서,마포구청,서울특별시 마포구 월드컵로 212(성산동),61,126.90177,37.56613,191321.5453,551848.3883,안전
9787,1144000000,서울특별시,마포구,관공서,성산2동주민센터,서울특별시 마포구 월드컵북로30길 22(성산동),42,126.90895,37.56859,191955.8796,552121.0031,안전
9790,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",성산종합사회복지관,서울특별시 마포구 월드컵로 215(성산동),15,126.90041,37.56504,191201.2648,551727.7595,안전
9796,1144000000,서울특별시,마포구,경로당,가좌행복경로당,"서울특별시 마포구 성암로 28(성산동, 가좌행복주택)",42,126.91252,37.56952,192271.9911,552223.0109,안전
9789,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",성미산체육관,서울특별시 마포구 월드컵북로15길 31-11 (성산동),12,126.91212,37.56222,192235.8883,551412.9635,안전
9795,1144000000,서울특별시,마포구,학교,한국우진학교,서울특별시 마포구 월드컵북로38길 21(중동),167,126.90331,37.57158,191458.2972,552453.4002,안전
0,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",마포장애인종합복지관,서울특별시 마포구 성산로 128(성산동),47,126.90843,37.5638,191909.8183,551589.5143,안전
9798,1144000000,서울특별시,마포구,학교,상암고등학교,서울특별시 마포구 월드컵북로 445(상암동),242,126.88374,37.58157,189731.1142,553563.535,안전
9797,1144000000,서울특별시,마포구,학교,상암초등학교,서울특별시 마포구 월드컵북로 353(상암동),159,126.89206,37.57636,190464.7981,552984.8078,안전
9799,1144000000,서울특별시,마포구,학교,상지초등학교,서울특별시 마포구 월드컵로42길 30(상암동),299,126.88205,37.57981,189580.8599,553368.0879,안전
9800,1144000000,서울특별시,마포구,경로당,상암경로문화센터,서울특별시 마포구 월드컵북로50길 7-5 (상암동),96,126.89327,37.57704,190572.26,553060.2639,안전
9591,1144000000,서울특별시,마포구,관공서,용강동주민센터,서울특별시 마포구 토정로31길 31(용강동),74,126.94278,37.54226,194943.3255,549195.9953,안전
9801,1144000000,서울특별시,마포구,관공서,상암동주민센터,서울특별시 마포구 매봉산로2길 16(상암동),55,126.89475,37.5783,190702.4967,553199.4866,안전
9585,1144000000,서울특별시,마포구,학교,아현초등학교,서울특별시 마포구 굴레방로 6(아현동),685,126.9571,37.55659,196208.9349,550785.5842,안전
